,Artist,Unique Words,Number of Songs,Ratio
0,Aaliyah,1929,90,21.433333333333334
1,Adele,1497,56,26.732142857142858
2,Alabama Shakes,688,30,22.933333333333334
3,Alanis Morissette,4289,151,28.403973509933774
4,Alessia Cara,1540,48,32.083333333333336
5,Alicia Keys,2753,169,16.28994082840237
6,Alison Moyet,2543,119,21.369747899159663
7,All Saints,1738,87,19.977011494252874
8,Amy MacDonald,1141,60,19.016666666666666
9,Amy Winehouse,1844,83,22.216867469879517
10,Angel Olsen,1129,64,17.640625
11,Angie Stone,2837,136,20.860294117647058
12,Ani DiFranco,5529,262,21.103053435114504
13,Anna Calvi,833,50,16.66
14,Anna Wise,796,30,26.533333333333335
15,Anne-Marie,936,30,31.2
16,Annie Lennox,2003,94,21.30851063829787
17,Aretha Franklin,4013,482,8.325726141078839
18,Ariana Grande,3120,172,18.13953488372093
19,Ashley Tisdale,1525,72,21.180555555555557
20,Ava Max,800,23,34.78260869565217
21,Avril Lavigne,2282,139,16.41726618705036
22,Azealia Banks,5210,117,44.52991452991453
23,Barbra Streisand,6274,553,11.345388788426764
24,Bat for Lashes,1574,79,19.924050632911392
25,Bea Miller,915,34,26.91176470588235
26,Bebe Rexha,1760,93,18.9247311827957
27,Beyoncé,4545,216,21.041666666666668
28,Billie Eilish,1797,73,24.616438356164384
29,Billie Holiday,2981,357,8.35014005602241
30,Billie Marten,831,31,26.806451612903224
31,Björk,3879,162,23.944444444444443
32,Blondie,3954,173,22.85549132947977
33,Brandi Carlile,2035,105,19.38095238095238
34,Brandy,2922,191,15.298429319371728
35,Britney Spears,2757,180,15.316666666666666
36,CHVRCHES,1056,61,17.311475409836067
37,Camila Cabello,1355,52,26.057692307692307
38,Cardi B,2239,55,40.70909090909091
39,Carly Rae Jepsen,1732,103,16.815533980582526
40,Carole King,3402,233,14.600858369098713
41,Carrie Underwood,2330,107,21.77570093457944
42,Cat Power,2286,158,14.468354430379748
43,Chaka Khan,2313,153,15.117647058823529
44,Charli XCX,4250,276,15.398550724637682
45,Cher,3599,323,11.142414860681114
46,Cheryl,1599,64,24.984375
47,Christina Aguilera,3837,211,18.18483412322275
48,Christine and the Queens,2364,58,40.758620689655174
49,Ciara,3073,151,20.350993377483444
50,Corinne Bailey Rae,1444,63,22.92063492063492
51,Crystal Castles,1061,49,21.653061224489797
52,Demi Lovato,2577,162,15.907407407407407
53,Destiny’s Child,2483,119,20.865546218487395
54,Diana Krall,2504,175,14.308571428571428
55,Diana Ross,3576,389,9.19280205655527
56,Dido,1432,84,17.047619047619047
57,Dinah Washington,2637,235,11.221276595744682
58,Dionne Warwick,2745,259,10.5984555984556
59,Doja Cat,3292,97,33.93814432989691
60,Dolly Parton,5963,643,9.273716951788492
61,Donna Summer,3000,232,12.931034482758621
62,Dua Lipa,1784,73,24.438356164383563
63,Dusty Springfield,3038,271,11.210332103321033
64,Ella Henderson,975,37,26.35135135135135
65,Ellie Goulding,2127,122,17.434426229508198
66,Emeli Sandé,1927,94,20.5
67,Emily King,1085,46,23.58695652173913
68,En Vogue,2273,97,23.432989690721648
69,Erykah Badu,2569,92,27.92391304347826
70,Etta James,2556,230,11.11304347826087
71,Eurythmics,1840,111,16.576576576576578
72,Eva Cassidy,1503,80,18.7875
73,FKA twigs,1098,48,22.875
74,Faith Evans,2095,123,17.03252032520325
75,Feist,1873,97,19.309278350515463
76,Fifth Harmony,2242,121,18.52892561983471
77,Fiona Apple,1941,73,26.589041095890412
78,First Aid Kit,1775,73,24.315068493150687
79,Fleetwood Mac,2635,349,7.5501432664756445
80,Florence + The Machine,1965,91,21.593406593406595
81,Foxes,999,47,21.25531914893617
82,Gabrielle Aplin,1819,90,20.211111111111112
83,Garbage,2228,129,17.271317829457363
84,Girls Aloud,2472,114,21.68421052631579
85,Goldfrapp,1270,88,14.431818181818182
86,Grace Jones,2488,110,22.618181818181817
87,Grimes,1681,84,20.011904761904763
88,Gwen Stefani,2004,76,26.36842105263158
89,H.E.R.,1498,55,27.236363636363638
90,HAIM,1206,57,21.157894736842106
91,Halsey,2438,79,30.860759493670887
92,Iggy Azalea,4286,111,38.612612612612615
93,Imogen Heap,2248,74,30.37837837837838
94,Ivy Sole,2427,37,65.5945945945946
95,Jamelia,1402,40,35.05
96,Jamila Woods,1632,41,39.80487804878049
97,Janelle Monáe,2715,85,31.941176470588236
98,Janet Jackson,2990,213,14.03755868544601
99,Janis Joplin,1390,105,13.238095238095237
100,Jennifer Hudson,1571,70,22.442857142857143
101,Jennifer Lopez,4004,153,26.169934640522875
102,Jess Glynne,909,33,27.545454545454547
103,Jessie J,2297,110,20.881818181818183
104,Jessie Reyez,1454,35,41.542857142857144
105,Jessie Ware,947,53,17.867924528301888
106,Jhené Aiko,3140,138,22.753623188405797
107,Jill Scott,3176,135,23.525925925925925
108,Joan As Police Woman,1693,76,22.276315789473685
109,Joan Baez,7574,439,17.252847380410024
110,Joanna Newsom,2807,49,57.285714285714285
111,Joni Mitchell,5662,207,27.352657004830917
112,Jorja Smith,1008,31,32.516129032258064
113,Joss Stone,2477,119,20.81512605042017
114,Julia Michaels,1534,69,22.231884057971016
115,Kacey Musgraves,2034,91,22.35164835164835
116,Kacy Hill,592,19,31.157894736842106
117,Kadhja Bonet,800,24,33.333333333333336
118,Kali Uchis,2007,75,26.76
119,Kate Bush,3016,149,20.241610738255034
120,Kate Tempest,3296,42,78.47619047619048
121,Katie Melua,2282,117,19.504273504273506
122,Katy B,1487,57,26.087719298245613
123,Katy Perry,3393,148,22.925675675675677
124,Kehlani,2218,80,27.725
125,Kelela,916,52,17.615384615384617
126,Kelis,2448,88,27.818181818181817
127,Kelly Clarkson,2765,220,12.568181818181818
128,Kelly Rowland,2304,97,23.75257731958763
129,Kelsey Lu,601,20,30.05
130,Kesha,3778,212,17.82075471698113
131,Keyshia Cole,2238,112,19.982142857142858
132,Kim Wilde,2505,204,12.279411764705882
133,Kylie Minogue,3554,357,9.955182072829132
134,La Roux,957,31,30.870967741935484
135,Lady Gaga,3846,184,20.902173913043477
136,Lana Del Rey,5117,331,15.459214501510575
137,Laura Marling,1841,89,20.685393258426966
138,Laura Mvula,781,36,21.694444444444443
139,Laurie Anderson,4232,151,28.026490066225165
140,Lauryn Hill,2899,64,45.296875
141,Leona Lewis,1683,98,17.1734693877551
142,Lianne La Havas,1124,49,22.93877551020408
143,Lily Allen,2565,105,24.428571428571427
144,Lisa Stansfield,1992,167,11.928143712574851
145,Little Mix,2511,121,20.75206611570248
146,Little Simz,3875,86,45.05813953488372
147,Lizzo,2773,54,51.351851851851855
148,London Grammar,712,38,18.736842105263158
149,Lorde,1825,55,33.18181818181818
150,Lucy Dacus,1103,28,39.392857142857146
151,Lykke Li,1208,70,17.257142857142856
152,M.I.A.,4011,135,29.711111111111112
153,Mabel,982,36,27.27777777777778
154,Macy Gray,2394,132,18.136363636363637
155,Madonna,4687,337,13.908011869436201
156,Mahalia,1260,43,29.302325581395348
157,Mariah Carey,4183,240,17.429166666666667
158,Mary J. Blige,4522,312,14.493589743589743
159,Megan Thee Stallion,2713,67,40.492537313432834
160,Meghan Trainor,2685,218,12.31651376146789
161,Miami Sound Machine,1931,88,21.943181818181817
162,Michelle Branch,1372,81,16.938271604938272
163,Miley Cyrus,3623,207,17.502415458937197
164,Missy Elliott,4757,142,33.5
165,Mitski,1099,56,19.625
166,Moloko,1813,49,37.0
167,Monica,2515,121,20.785123966942148
168,Nadine Shah,1024,40,25.6
169,Nancy Sinatra,2644,185,14.291891891891892
170,Naomi Scott,568,17,33.411764705882355
171,Nelly Furtado,2978,122,24.40983606557377
172,Neneh Cherry,2200,62,35.483870967741936
173,Nicki Minaj,7567,247,30.635627530364374
174,Nina Simone,3958,284,13.93661971830986
175,No Doubt,2333,86,27.127906976744185
176,Noname,2889,43,67.18604651162791
177,Norah Jones,2025,142,14.26056338028169
178,Olivia Newton-John,3324,291,11.422680412371134
179,P!nk,3158,168,18.797619047619047
180,PJ Harvey,2845,190,14.973684210526315
181,Paloma Faith,1769,76,23.276315789473685
182,Paramore,1786,102,17.50980392156863
183,Patti LaBelle,2668,210,12.704761904761904
184,Patti Smith,3522,133,26.481203007518797
185,Peaches,2053,70,29.32857142857143
186,Phoebe Bridgers,1126,28,40.214285714285715
187,Portishead,808,44,18.363636363636363
188,Queen Latifah,3963,93,42.61290322580645
189,Rae Morris,955,33,28.939393939393938
190,Rihanna,3182,179,17.776536312849164
191,Rita Ora,1502,66,22.757575757575758
192,Robyn,2150,90,23.88888888888889
193,Róisín Murphy,2027,69,29.3768115942029
194,SZA,2039,78,26.141025641025642
195,Sabrina Claudio,902,40,22.55
196,Sade,1205,67,17.98507462686567
197,Sampa The Great,2228,46,48.43478260869565
198,Sara Bareilles,2319,109,21.275229357798164
199,Sarah McLachlan,2229,124,17.975806451612904
200,Sarah Vaughan,3905,378,10.33068783068783
201,Selena Gomez,1728,86,20.093023255813954
202,Shania Twain,1836,102,18.0
203,Sharon Jones & The Dap-Kings,1542,81,19.037037037037038
204,Sharon Van Etten,1158,69,16.782608695652176
205,Shura,737,26,28.346153846153847
206,Sia,2776,188,14.76595744680851
207,Sinéad O’Connor,3878,197,19.685279187817258
208,Skunk Anansie,2072,110,18.836363636363636
209,Sky Ferreira,1811,76,23.82894736842105
210,Sleigh Bells,1375,60,22.916666666666668
211,Soccer Mommy,1131,51,22.176470588235293
212,Solange,2023,95,21.294736842105262
213,Spice Girls,1684,56,30.071428571428573
214,St. Vincent,2021,95,21.273684210526316
215,Sudan Archives,679,26,26.115384615384617
216,Sugababes,2369,120,19.741666666666667
217,Suzanne Vega,2540,114,22.280701754385966
218,TLC,2491,97,25.68041237113402
219,Tamia,1857,97,19.144329896907216
220,Taylor Swift,4922,304,16.19078947368421
221,Tegan and Sara,2036,149,13.664429530201343
222,Tei Shi,894,36,24.833333333333332
223,Texas,1832,158,11.594936708860759
224,Teyana Taylor,1981,64,30.953125
225,The Pussycat Dolls,1658,57,29.087719298245613
226,The Supremes,3677,402,9.14676616915423
227,Tina Turner,2633,183,14.387978142076502
228,Tinashe,3161,187,16.90374331550802
229,Toni Braxton,2227,130,17.130769230769232
230,Tori Amos,5393,334,16.146706586826348
231,Tracy Chapman,2139,96,22.28125
232,VanJess,823,17,48.411764705882355
233,Whitney Houston,2166,136,15.926470588235293
234,Yeah Yeah Yeahs,1151,73,15.767123287671232
235,Zara Larsson,1339,61,21.950819672131146
